"","GEBJAHR","prevbirthoutcome","count","sectiorate"
"1",1995,"0",2720,0.0974264705882353
"2",1995,"1",870,0.525287356321839
"3",1995,"3",39274,0.152263584050517
"4",1996,"0",5992,0.0710947930574099
"5",1996,"1",1268,0.523659305993691
"6",1996,"3",39314,0.159230808363433
"7",1997,"0",14601,0.0525991370454078
"8",1997,"1",2320,0.544827586206897
"9",1997,"3",37780,0.170592906299629
"10",1998,"0",19507,0.0533654585533398
"11",1998,"1",3121,0.554309516180711
"12",1998,"3",36258,0.17590600695019
"13",1999,"0",21391,0.0622224299939227
"14",1999,"1",3701,0.586057822210213
"15",1999,"3",35309,0.197116882381263
"16",2000,"0",23726,0.0685745595549187
"17",2000,"1",4215,0.594306049822064
"18",2000,"3",35453,0.202493442021832
"19",2001,"0",23956,0.0738019702788446
"20",2001,"1",4591,0.620344151600958
"21",2001,"3",34581,0.218299065961077
"22",2002,"0",26016,0.0836023985239852
"23",2002,"1",5302,0.649566201433421
"24",2002,"3",35664,0.237438313144908
"25",2003,"0",26168,0.0935875878936105
"26",2003,"1",5550,0.669009009009009
"27",2003,"3",35090,0.251325163864349
"28",2004,"0",26921,0.100702054158464
"29",2004,"1",6244,0.686579115951313
"30",2004,"3",36239,0.264135323822401
"31",2005,"0",26794,0.104202433380608
"32",2005,"1",6601,0.685653688835025
"33",2005,"3",36084,0.272309056645605
"34",2006,"0",26684,0.112539349422875
"35",2006,"1",7098,0.717385178923641
"36",2006,"3",36127,0.281811387604838
"37",2007,"0",26320,0.115539513677812
"38",2007,"1",7471,0.721322446794271
"39",2007,"3",35106,0.296074745057825
"40",2008,"0",26616,0.118312293357379
"41",2008,"1",7800,0.73525641025641
"42",2008,"3",36263,0.305518021123459
"43",2009,"0",26056,0.12104697574455
"44",2009,"1",8042,0.752424769957722
"45",2009,"3",35824,0.308340777132649
"46",2010,"0",26393,0.118554162088433
"47",2010,"1",8754,0.748000913867946
"48",2010,"3",37117,0.305816741654767
"49",2011,"0",25917,0.116757340741598
"50",2011,"1",8764,0.757074395253309
"51",2011,"3",37308,0.304948000428862
"52",2012,"0",26147,0.114697670860902
"53",2012,"1",9116,0.746928477402369
"54",2012,"3",37855,0.311108175934487
"55",2013,"0",26334,0.115971747550695
"56",2013,"1",9414,0.74835351603994
"57",2013,"3",38051,0.307061575254264
"58",2014,"0",27222,0.119425464697671
"59",2014,"1",9669,0.744751266935567
"60",2014,"3",39100,0.314296675191816
"61",2015,"0",27603,0.11415425859508
"62",2015,"1",9576,0.73109857978279
"63",2015,"3",40167,0.312570020165808
"64",2016,"0",28414,0.114696980361793
"65",2016,"1",10212,0.713278495887191
"66",2016,"3",40934,0.308154590316119
