"","ALTM","count","sectiorate"
"1",11,2,1
"2",12,4,0.25
"3",13,28,0.214285714285714
"4",14,225,0.164444444444444
"5",15,1233,0.182481751824818
"6",16,3962,0.144119131751641
"7",17,9321,0.155991846368415
"8",18,17093,0.16761247294214
"9",19,28975,0.174874892148404
"10",20,39806,0.175023865748882
"11",21,50703,0.178983492101059
"12",22,61906,0.182098665718993
"13",23,73709,0.184617889267254
"14",24,86350,0.189878401852924
"15",25,98572,0.196364079048817
"16",26,109160,0.197865518504947
"17",27,117428,0.206322171884048
"18",28,122495,0.212547450916364
"19",29,125018,0.220352269273225
"20",30,122490,0.228990121642583
"21",31,117110,0.237930151139954
"22",32,107021,0.249913568365087
"23",33,95553,0.25903948593974
"24",34,83335,0.271530569388612
"25",35,71233,0.28659469627841
"26",36,58743,0.297907835827248
"27",37,46872,0.308094384707288
"28",38,36357,0.325851967984157
"29",39,27767,0.337270861094105
"30",40,20312,0.360525797558094
"31",41,12763,0.364804513045522
"32",42,8013,0.378634718582304
"33",43,4498,0.377501111605158
"34",44,2448,0.412581699346405
"35",45,1146,0.468586387434555
"36",46,607,0.535420098846787
"37",47,279,0.559139784946237
"38",48,133,0.676691729323308
"39",49,97,0.865979381443299
"40",50,68,0.661764705882353
"41",51,34,0.882352941176471
"42",52,19,0.789473684210526
"43",53,10,0.9
"44",54,8,0.375
"45",55,14,0.928571428571429
"46",56,4,1
"47",57,1,1
"48",58,3,1
"49",59,1,1
"50",60,2,1
"51",61,1,1
"52",66,1,1
