"","GEBJAHR","GEBURTENFOLGE_LEB","totalbirthsperyearpar"
"1",1995,"1",39440
"2",1995,"2",32246
"3",1995,"3",11897
"4",1995,"4",5086
"5",1996,"1",39462
"6",1996,"2",32443
"7",1996,"3",11878
"8",1996,"4",5026
"9",1997,"1",37932
"10",1997,"2",30093
"11",1997,"3",11400
"12",1997,"4",4620
"13",1998,"1",36408
"14",1998,"2",29490
"15",1998,"3",10805
"16",1998,"4",4530
"17",1999,"1",35449
"18",1999,"2",27909
"19",1999,"3",10343
"20",1999,"4",4437
"21",2000,"1",35575
"22",2000,"2",28177
"23",2000,"3",10202
"24",2000,"4",4314
"25",2001,"1",34733
"26",2001,"2",26733
"27",2001,"3",9830
"28",2001,"4",4162
"29",2002,"1",35793
"30",2002,"2",27646
"31",2002,"3",10469
"32",2002,"4",4491
"33",2003,"1",35241
"34",2003,"2",26986
"35",2003,"3",10355
"36",2003,"4",4362
"37",2004,"1",36411
"38",2004,"2",27651
"39",2004,"3",10285
"40",2004,"4",4621
"41",2005,"1",36221
"42",2005,"2",27205
"43",2005,"3",10259
"44",2005,"4",4505
"45",2006,"1",36288
"46",2006,"2",27088
"47",2006,"3",10032
"48",2006,"4",4506
"49",2007,"1",35261
"50",2007,"2",26768
"51",2007,"3",9810
"52",2007,"4",4411
"53",2008,"1",36392
"54",2008,"2",27182
"55",2008,"3",9843
"56",2008,"4",4335
"57",2009,"1",35953
"58",2009,"2",26520
"59",2009,"3",9672
"60",2009,"4",4199
"61",2010,"1",37267
"62",2010,"2",27695
"63",2010,"3",9662
"64",2010,"4",4118
"65",2011,"1",37463
"66",2011,"2",27144
"67",2011,"3",9415
"68",2011,"4",4087
"69",2012,"1",37979
"70",2012,"2",27732
"71",2012,"3",9363
"72",2012,"4",3878
"73",2013,"1",38168
"74",2013,"2",28217
"75",2013,"3",9136
"76",2013,"4",3809
"77",2014,"1",39224
"78",2014,"2",28979
"79",2014,"3",9588
"80",2014,"4",3931
"81",2015,"1",40353
"82",2015,"2",29566
"83",2015,"3",9686
"84",2015,"4",4036
"85",2016,"1",41083
"86",2016,"2",31035
"87",2016,"3",10435
"88",2016,"4",4503
