"","GEBJAHR","count","avgparity","stdparity","relfreqfirstborn","relfreqsecondborn","relfreqthirdborn","relfreqfourthbornorhigher"
"1",1995,88669,1.83153074919081,0.976140951067992,0.444800324803483,0.363667121541914,0.134173160856669,0.0573593927979339
"2",1996,88809,1.82918397910122,0.970169897387296,0.444346856737493,0.365312074226711,0.133747705750543,0.0565933632852526
"3",1997,84045,1.82084597537034,0.973199220510251,0.451329644833125,0.358058183116188,0.135641620560414,0.0549705514902731
"4",1998,81233,1.82300296677459,0.968945730392318,0.448192237145003,0.363029803158815,0.133012445680942,0.0557655140152401
"5",1999,78138,1.81917888863293,0.974850303306945,0.453671709027618,0.357175765952546,0.132368373902583,0.0567841511172541
"6",2000,78268,1.81066336178259,0.959536418193256,0.454528031890428,0.360006643839117,0.13034701282772,0.0551183114427352
"7",2001,75458,1.80729677436455,0.971893210699558,0.460295793686554,0.354276551194042,0.130271144212675,0.0551565109067296
"8",2002,78399,1.81839054069567,0.977228970146551,0.456549190678453,0.352632048878174,0.133534866516155,0.0572838939272185
"9",2003,76944,1.81721771678104,0.97780464265488,0.458008421709295,0.350722603451861,0.134578394676648,0.0566905801621959
"10",2004,78968,1.81498834971128,0.988370457264002,0.461085502988552,0.350154492959173,0.130242629926046,0.0585173741262283
"11",2005,78190,1.81081979792812,0.980097422942753,0.463243381506587,0.347934518480624,0.131206036577567,0.0576160634352219
"12",2006,77914,1.80695382087943,0.983710800108285,0.46574428215725,0.347665374643838,0.12875734784506,0.0578329953538517
"13",2007,76250,1.81033442622951,0.981507838538091,0.462439344262295,0.351055737704918,0.128655737704918,0.0578491803278689
"14",2008,77752,1.79946496553143,0.982550603897978,0.468052268751929,0.349598724148575,0.126594814281305,0.0557541928181912
"15",2009,76344,1.79446976841664,0.979693921552934,0.470934192601907,0.347375039295819,0.126689720213769,0.0550010478885047
"16",2010,78742,1.78025704198522,0.958762831344586,0.473279825252089,0.351718269792487,0.122704528714028,0.052297376241396
"17",2011,78109,1.77403372210629,0.971028152319288,0.479624627123635,0.347514370943169,0.120536685913275,0.0523243160199209
"18",2012,78952,1.76166531563482,0.952921896936621,0.481039112372074,0.351251393251596,0.118591042658831,0.0491184517174992
"19",2013,79330,1.75630908861717,0.948715634891109,0.481129459220976,0.355691415605698,0.115164502710198,0.0480146224631287
"20",2014,81722,1.75903673429431,0.946320228910633,0.479968674285994,0.354604635226744,0.117324588238173,0.0481021022490884
"21",2015,83641,1.7562798149233,0.950941314380463,0.482454776963451,0.353486926268218,0.115804449970708,0.0482538467976232
"22",2016,87056,1.78140507259695,0.973487723283692,0.471914629663665,0.356494670097409,0.11986537401213,0.0517253262267965
