"","GEBJAHR","count","BILDM1freq","BILDM2freq","BILDM3freq","BILDM4freq"
"1",1995,86856,0.238878143133462,0.563265635074146,0.118276227318781,0.0795799944736115
"2",1996,86073,0.224170181125324,0.568017845317347,0.122291543224937,0.0855204303323923
"3",1997,80592,0.214289259479849,0.567984415326583,0.130236251737145,0.0874900734564225
"4",1998,76352,0.212122799664711,0.560692581726739,0.132897632020117,0.0942869865884325
"5",1999,76367,0.208074168161641,0.549569840376079,0.139955740044784,0.102400251417497
"6",2000,77782,0.204340335810342,0.545511815072896,0.14544496155923,0.104702887557533
"7",2001,74147,0.196002535503797,0.543690236961711,0.146654618528059,0.113652609006433
"8",2002,75404,0.204617792159567,0.525754601877884,0.148745424645907,0.120882181316641
"9",2003,73439,0.201269080461335,0.519805552907855,0.152439439534852,0.126485927095957
"10",2004,75380,0.201936853276731,0.508158662775272,0.15639426903688,0.133510214911117
"11",2005,74313,0.193371280933349,0.50050462234064,0.164103185176214,0.142020911549796
"12",2006,73629,0.190794388080783,0.486425185728449,0.169294707248503,0.153485718942265
"13",2007,71370,0.187361636541964,0.481785063752277,0.171192377749755,0.159660921956004
"14",2008,71787,0.181982810258125,0.474807416384582,0.173443659715547,0.169766113641746
"15",2009,70041,0.173698262446281,0.469553547208064,0.17849545266344,0.178252737682215
"16",2010,71876,0.168289832489287,0.460863153208303,0.178501864321888,0.192345149980522
"17",2011,70510,0.158261239540491,0.457665579350447,0.182924407885406,0.201148773223656
"18",2012,69958,0.153063266531347,0.444552445753166,0.18363875468138,0.218745533034106
"19",2013,68700,0.145385735080058,0.43490538573508,0.191572052401747,0.228136826783115
"20",2014,57425,0.143299956464954,0.426190683500218,0.193034392686112,0.237474967348716
