"","GEBJAHR","count","avgage","stdage"
"1",1995,88669,27.5453315138323,4.9753815368319
"2",1996,88809,27.7935119188371,4.97786676458747
"3",1997,84045,28.0083050746624,5.06249812700413
"4",1998,81233,28.1634680486994,5.09713399015536
"5",1999,78138,28.3507768307354,5.20153317272139
"6",2000,78268,28.4414831093167,5.24453210545346
"7",2001,75458,28.6250894537359,5.3743711005305
"8",2002,78399,28.7860176787969,5.43267380291111
"9",2003,76944,28.9354335620711,5.48765053873587
"10",2004,78968,28.9536014588188,5.53720419851281
"11",2005,78190,29.0767745235964,5.5490083777717
"12",2006,77914,29.1985265805889,5.57448020000344
"13",2007,76250,29.2949901639344,5.58243962166228
"14",2008,77752,29.3539072949892,5.61390214784811
"15",2009,76344,29.4789374410563,5.58290063267146
"16",2010,78742,29.5748774478677,5.55187419501018
"17",2011,78109,29.7278290593914,5.51567842893678
"18",2012,78952,29.8490348566217,5.44332305543953
"19",2013,79330,29.9535106517081,5.42735623322528
"20",2014,81722,30.0308851961528,5.32618794183641
"21",2015,83641,30.1557131072082,5.31935413048573
"22",2016,87056,30.2253492005146,5.29802099565882
